Bank_Name,Year,Quarter,Capital_Adequacy_Ratio,Non_Performing_Loans_Ratio,Liquidity_Coverage_Ratio,Return_on_Assets,Loan_to_Deposit_Ratio,Net_Interest_Margin,Operational_Efficiency_Ratio,Went_Defunct
Regional River Bank,2001,3,13.97,1.92,116.8,2.08,61.65,4.04,33.92,No
National River Bancorp,2001,3,12.37,4.02,120.07,1.9,66.43,2.91,63.73,No
National River Financial,2001,3,7.58,3.53,105.76,1.87,65.71,3.29,34.02,No
United River Bancorp,2001,3,12.92,4.02,106.37,2.09,63.38,3.21,50.19,No
United Valley Bancorp,2001,3,4.72,8.46,88.04,-1.19,110.8,0.35,70.44,Yes
Regional Valley Bank,2001,3,12.94,3.48,123.56,1.84,69.99,2.37,56.05,No
First America Trust,2001,3,13.76,1.55,115.3,2.13,65.63,2.97,71.0,No
Community America Trust,2001,3,11.51,1.64,113.52,2.37,68.19,2.68,63.21,No
First Mountain Credit,2001,3,14.84,1.4,101.33,2.5,63.15,3.4,30.3,No
Regional America Credit,2001,3,7.79,3.37,77.31,-0.99,85.69,0.8,86.86,Yes
United Plains Credit,2001,3,12.21,2.58,139.76,1.22,86.17,3.05,41.01,No
United America Trust,2001,3,3.34,6.43,79.22,-1.13,122.67,0.27,79.88,Yes
Community Mountain Financial,2001,3,9.5,2.36,128.87,1.79,43.96,3.1,54.37,No
Community State Bank,2001,3,6.81,10.71,59.29,-0.32,117.89,0.11,83.2,Yes
Metropolitan State Trust,2001,3,10.99,1.92,123.48,1.76,63.24,3.02,39.13,No
Community Plains Trust,2001,3,9.83,2.68,108.51,2.33,74.63,2.14,43.22,No
Metropolitan America Trust,2001,3,14.39,1.02,115.36,2.23,77.83,2.87,44.02,No
Metropolitan Coast Credit,2001,3,8.84,12.22,79.79,-0.91,87.88,0.58,85.23,Yes
Metropolitan Plains Trust,2001,3,12.84,3.4,126.5,1.25,80.52,2.5,46.16,No
First Mountain Bancorp,2001,3,12.5,4.0,151.1,2.3,68.17,3.27,58.88,No
National River Credit,2001,3,5.36,12.39,72.3,-0.5,109.99,1.21,88.39,Yes
Regional State Credit,2001,3,10.77,1.44,109.0,2.22,77.79,3.23,66.74,No
Community Valley Bank,2001,3,11.99,2.67,109.08,1.81,76.96,3.42,47.06,No
United River Financial,2001,3,11.86,0.48,116.43,2.45,75.75,3.25,50.5,No
Central Mountain Financial,2001,3,12.01,1.34,126.99,2.21,74.92,2.74,28.47,No
Metropolitan State Bancorp,2001,3,14.19,1.52,111.37,2.35,66.08,3.53,56.17,No
Regional Mountain Bancorp,2001,3,13.37,0.63,132.12,2.13,66.31,3.07,32.24,No
Central America Bank,2001,3,12.82,0.97,106.47,1.24,81.13,2.69,65.34,No
Community State Bank,2001,3,10.93,0.29,108.83,2.62,68.44,2.73,51.6,No
Central Valley Credit,2001,3,13.0,3.12,134.48,1.82,56.74,2.79,52.6,No
Regional State Financial,2001,3,4.07,4.13,73.44,-1.05,100.49,0.62,77.7,Yes
Metropolitan Mountain Bank,2001,3,4.15,9.67,80.35,-2.85,86.06,0.25,73.5,Yes
Metropolitan Coast Bank,2001,3,11.83,0.55,110.78,1.5,72.07,3.03,42.78,No
National State Credit,2001,3,6.35,5.36,67.28,0.67,120.11,0.35,88.3,Yes
National Coast Credit,2001,3,7.62,3.56,78.19,0.54,83.16,0.54,90.18,Yes
United Coast Credit,2001,3,12.54,2.55,123.41,2.2,56.74,3.52,61.7,No
First Mountain Credit,2001,3,11.54,1.96,104.69,2.26,75.72,2.97,61.24,No
Community Coast Credit,2001,3,11.33,2.56,109.8,1.99,68.26,3.11,46.3,No
National Valley Trust,2001,3,5.74,9.48,65.63,-2.61,126.24,1.69,67.08,Yes
First Plains Bancorp,2001,3,13.38,1.5,122.63,2.15,67.66,2.61,43.09,No
Metropolitan State Bank,2001,4,10.17,1.17,119.33,1.64,76.82,3.74,44.2,No
United America Credit,2001,4,12.48,2.5,124.72,2.04,77.43,3.24,37.62,No
National Plains Credit,2001,4,7.74,9.66,62.37,-0.96,110.25,0.9,90.73,Yes
United Coast Bancorp,2001,4,16.73,1.21,106.19,2.15,77.22,2.88,64.53,No
National Valley Bancorp,2001,4,3.32,9.08,63.94,0.72,129.89,0.62,74.5,Yes
United River Credit,2001,4,7.72,5.84,69.55,-0.97,71.2,0.99,73.1,Yes
Community Mountain Trust,2001,4,11.01,3.44,107.43,2.41,67.21,2.86,57.9,No
Metropolitan Coast Bancorp,2001,4,12.68,2.57,129.68,1.83,63.88,2.46,41.75,No
Metropolitan Mountain Trust,2001,4,17.9,3.24,106.49,1.34,74.82,3.27,55.49,No
National Valley Credit,2001,4,5.49,6.62,73.28,-0.91,66.71,0.89,71.49,Yes
Regional Mountain Bank,2001,4,12.35,4.99,123.67,1.84,79.22,3.24,54.2,No
Community State Financial,2001,4,13.21,4.06,108.69,2.24,60.74,3.28,40.81,No
National Plains Bank,2001,4,11.17,1.7,129.76,2.46,57.54,3.03,42.9,No
Regional Mountain Credit,2001,4,9.48,1.78,116.92,3.21,74.33,2.31,44.35,No
Community America Financial,2001,4,14.04,4.09,104.14,1.06,88.71,3.19,41.32,No
Regional Plains Bank,2001,4,13.07,0.0,120.03,2.16,79.24,2.49,50.86,No
United America Bancorp,2001,4,10.15,2.26,111.05,1.8,60.04,3.33,58.58,No
Community Coast Financial,2001,4,11.53,2.04,105.51,1.85,69.5,4.31,38.88,No
Central Mountain Credit,2001,4,14.93,3.0,122.81,2.88,73.72,3.19,49.47,No
Community Mountain Trust,2001,4,14.45,3.1,113.74,1.34,67.97,2.6,49.36,No
Central Valley Bancorp,2001,4,14.47,1.54,119.57,2.03,78.48,1.88,43.93,No
Regional Plains Bancorp,2001,4,12.42,3.2,115.08,1.06,76.2,2.68,38.1,No
Metropolitan America Bancorp,2001,4,4.75,6.45,63.95,-3.21,113.46,1.64,86.52,Yes
Community Mountain Trust,2001,4,9.72,1.8,119.93,2.3,76.68,2.63,50.82,No
United Coast Trust,2001,4,12.91,3.46,127.05,2.39,70.84,3.71,54.1,No
Regional River Financial,2001,4,10.28,3.4,126.98,1.78,65.21,3.15,54.63,No
First Plains Financial,2001,4,12.39,2.31,137.0,2.54,71.91,3.47,39.67,No
Regional Valley Financial,2001,4,12.8,3.81,117.82,1.58,63.48,2.46,42.15,No
Regional Valley Bank,2001,4,11.26,0.59,120.16,2.45,60.92,3.76,55.11,No
First Plains Financial,2001,4,14.06,1.34,128.55,1.45,78.9,3.09,55.53,No
Community Plains Financial,2001,4,9.65,1.1,125.97,1.53,74.63,2.32,58.48,No
Central America Bancorp,2001,4,9.53,2.55,126.26,1.65,75.82,3.13,44.61,No
Metropolitan Valley Bank,2001,4,9.98,0.04,123.5,1.22,70.95,2.87,56.79,No
Community Plains Financial,2001,4,11.4,1.67,127.32,2.17,73.16,3.23,34.64,No
First Plains Bancorp,2001,4,13.51,2.61,109.83,1.88,69.61,2.93,53.34,No
National Valley Financial,2001,4,14.86,3.08,106.88,2.31,83.29,3.19,60.91,No
Metropolitan Valley Credit,2001,4,10.02,10.07,72.49,0.05,102.17,1.01,76.49,Yes
National Valley Bancorp,2001,4,15.13,1.18,135.32,2.25,56.01,3.18,29.0,No
Community River Credit,2001,4,7.25,9.66,64.08,-0.88,129.31,0.75,69.41,Yes
Regional Plains Trust,2001,4,8.96,12.89,70.04,0.01,120.12,0.63,75.15,Yes
Metropolitan State Trust,2001,4,14.46,3.69,125.63,1.56,89.87,2.73,46.65,No
Metropolitan Plains Trust,2001,4,12.68,3.55,128.54,2.21,74.63,3.02,55.58,No
National America Bancorp,2001,4,0.94,6.11,72.41,-2.15,105.79,0.9,97.55,Yes
National Valley Bancorp,2001,4,15.15,1.53,118.49,1.96,65.48,3.1,42.42,No
National Mountain Bank,2001,4,9.74,2.62,126.3,1.6,78.95,2.68,52.53,No
Regional River Bank,2001,4,7.64,6.9,74.55,-1.52,97.05,0.9,72.53,Yes
United America Bank,2001,4,11.65,0.45,115.09,1.86,67.44,2.88,49.38,No
Community Mountain Financial,2001,4,6.96,9.62,63.5,-2.2,84.37,0.76,76.48,Yes
First State Credit,2001,4,10.46,0.7,115.44,2.09,75.95,2.72,45.87,No
First America Financial,2001,4,4.15,6.91,61.52,-0.43,73.21,0.82,83.01,Yes
Community River Credit,2002,1,6.37,15.08,73.5,-2.0,98.57,0.11,79.19,Yes
Central Plains Credit,2002,1,10.33,2.92,114.5,1.94,63.64,3.87,46.79,No
Central River Credit,2002,1,15.67,2.81,124.82,2.18,73.94,2.04,47.21,No
First Plains Trust,2002,1,13.69,1.95,105.95,1.97,87.04,3.62,49.38,No
Central Mountain Bank,2002,1,13.9,1.63,102.96,1.54,85.63,2.86,47.57,No
Community Coast Bank,2002,1,11.4,3.9,136.26,3.11,68.41,3.15,34.83,No
Community Coast Trust,2002,1,14.95,0.83,122.17,1.45,64.11,2.58,43.92,No
Metropolitan Coast Bancorp,2002,1,10.92,1.45,128.33,1.45,72.21,3.61,44.87,No
First Coast Trust,2002,1,10.56,1.77,131.8,2.1,64.69,3.24,38.98,No
Community Valley Trust,2002,1,13.36,2.41,116.92,1.58,61.13,3.27,62.29,No
Community America Credit,2002,1,10.73,2.46,99.13,1.71,69.69,2.55,40.63,No
Regional Valley Credit,2002,1,10.66,2.29,118.13,0.88,48.79,2.7,54.58,No
United America Bank,2002,1,6.5,1.5,114.74,2.69,66.15,3.19,51.41,No
First Plains Financial,2002,1,7.74,2.77,122.15,2.25,109.26,1.96,67.25,No
Regional America Trust,2002,1,11.43,2.29,119.54,1.79,64.3,3.16,34.83,No
Central Plains Bank,2002,1,13.5,1.58,108.7,1.77,82.57,2.73,53.58,No
Central Valley Bank,2002,1,10.54,2.76,126.86,2.92,68.24,3.33,50.98,No
Central Coast Trust,2002,1,14.59,1.28,127.45,1.9,69.36,3.05,52.52,No
National State Trust,2002,1,11.77,2.21,135.78,2.49,78.69,2.77,41.11,No
Metropolitan Plains Financial,2002,1,13.91,2.88,134.73,1.7,67.7,2.18,46.08,No
Metropolitan Valley Bancorp,2002,1,13.99,1.53,126.4,1.9,73.24,2.43,50.85,No
Central River Credit,2002,1,6.02,1.81,103.7,2.6,77.77,3.23,65.21,No
National America Financial,2002,1,10.1,3.75,129.32,1.88,81.36,2.45,41.75,No
United River Financial,2002,1,10.78,1.47,109.43,2.61,67.41,3.18,44.3,No
First Mountain Credit,2002,1,8.36,2.27,100.88,1.97,56.32,3.99,59.11,No
National Valley Bancorp,2002,1,12.21,3.26,111.54,2.27,72.0,3.13,62.72,No
Community Mountain Bancorp,2002,1,13.46,2.29,103.45,1.52,68.77,3.05,38.7,No
United State Bancorp,2002,1,16.82,3.52,126.02,2.04,67.88,2.52,50.77,No
Community America Financial,2002,1,12.52,0.76,123.34,1.92,50.92,2.57,45.86,No
Central Plains Bank,2002,1,9.78,8.67,56.65,-0.51,76.79,1.54,75.29,Yes
Central Mountain Trust,2002,1,11.81,3.33,107.13,1.3,64.16,3.52,34.81,No
United Mountain Trust,2002,1,6.34,1.55,125.52,2.6,65.37,2.79,61.54,No
Central Mountain Financial,2002,1,2.26,5.83,71.9,-0.55,92.35,1.02,55.12,Yes
First Valley Bank,2002,1,10.68,2.45,110.18,2.03,74.47,2.83,51.7,No
Metropolitan State Bancorp,2002,1,4.07,6.38,76.1,-0.84,91.2,1.11,87.15,Yes
Regional Plains Financial,2002,1,7.9,3.16,116.64,2.21,81.97,2.31,42.91,No
Central Mountain Bank,2002,1,11.42,1.22,137.35,1.57,64.44,3.1,37.98,No
First River Bancorp,2002,1,11.21,2.32,116.67,1.95,64.71,2.24,53.22,No
National Coast Bank,2002,1,15.51,2.02,122.25,2.35,57.31,3.85,52.02,No
National Plains Financial,2002,1,15.26,1.27,138.18,2.39,75.53,3.12,47.51,No
First America Credit,2002,1,14.4,2.14,100.33,1.44,68.14,3.15,49.43,No
Central Plains Bank,2002,1,14.44,0.05,121.44,1.09,77.6,2.95,54.2,No
United America Bank,2002,1,10.27,3.28,130.42,2.29,68.7,3.29,42.93,No
Regional State Bancorp,2002,1,7.71,11.95,80.71,-1.73,105.42,0.35,85.72,Yes
Regional State Financial,2002,1,6.9,1.39,58.38,-1.28,95.49,0.4,83.89,Yes
Community River Bancorp,2002,1,12.5,1.81,112.44,2.52,86.55,2.76,43.88,No
Regional Coast Trust,2002,1,6.98,5.93,68.61,-0.26,71.36,1.66,80.73,Yes
First America Financial,2002,1,11.18,1.91,119.62,1.13,84.95,3.02,54.43,No
Central America Credit,2002,1,13.9,0.98,124.73,1.87,78.47,1.94,49.01,No
Regional America Trust,2002,1,10.79,2.43,124.7,1.65,62.88,2.94,41.03,No
First Coast Bank,2002,2,7.68,5.89,40.93,-1.37,84.42,0.18,67.63,Yes
Central Coast Trust,2002,2,12.22,3.33,123.13,1.7,74.56,2.77,43.05,No
Regional Plains Bank,2002,2,9.69,0.25,116.1,2.08,69.03,2.79,40.54,No
National River Bank,2002,2,7.22,3.05,77.76,-2.0,88.71,0.27,74.99,Yes
Central Coast Credit,2002,2,13.95,2.52,129.78,2.26,58.96,2.83,42.2,No
Metropolitan Plains Trust,2002,2,14.66,0.8,128.94,2.45,88.3,2.8,57.12,No
First Coast Bancorp,2002,2,16.56,1.38,104.65,1.06,77.13,2.06,46.28,No
Metropolitan River Credit,2002,2,12.87,2.19,124.25,2.11,82.79,2.52,43.23,No
Central River Bancorp,2002,2,10.45,2.83,129.0,2.23,81.83,2.41,66.67,No
First Mountain Bank,2002,2,15.05,2.74,137.82,1.17,64.76,2.63,57.21,No
National River Credit,2002,2,9.9,2.76,133.71,2.35,72.84,2.51,41.53,No
First Mountain Trust,2002,2,14.5,2.78,119.61,1.79,49.74,2.46,69.11,No
First State Bank,2002,2,3.44,7.57,80.07,-2.25,102.77,1.47,80.12,Yes
Community State Trust,2002,2,17.74,0.33,130.59,1.91,77.72,3.22,42.67,No
United Plains Bancorp,2002,2,12.46,0.14,126.03,2.15,76.39,3.53,53.68,No
Central Valley Trust,2002,2,12.3,1.12,112.88,2.59,84.36,2.88,50.46,No
Community River Credit,2002,2,10.19,3.17,126.65,2.97,61.22,2.81,52.31,No
First Coast Trust,2002,2,13.29,1.78,111.27,2.44,77.21,2.54,63.55,No
Regional State Financial,2002,2,14.34,2.13,120.8,2.28,61.38,3.02,28.48,No
National Coast Bank,2002,2,7.75,2.32,85.03,-1.33,96.82,0.69,77.12,Yes
National State Trust,2002,2,14.84,0.0,132.77,2.17,57.93,2.46,66.76,No
United Valley Credit,2002,2,10.11,0.85,131.37,2.17,60.62,3.11,39.74,No
United State Financial,2002,2,14.2,3.06,125.32,2.18,87.61,3.0,38.18,No
Central Mountain Credit,2002,2,12.9,4.09,109.85,1.82,74.16,2.97,40.18,No
First America Bank,2002,2,14.24,4.32,121.96,1.55,54.51,3.13,61.04,No
Metropolitan State Financial,2002,2,12.95,2.0,114.11,1.45,78.35,3.46,34.54,No
Central Plains Trust,2002,2,15.18,2.57,134.0,1.33,56.34,2.93,55.03,No
Metropolitan State Trust,2002,2,15.59,2.71,117.57,1.49,82.3,2.52,66.28,No
Regional River Bank,2002,2,11.43,3.59,126.79,1.93,64.81,2.83,54.28,No
National America Credit,2002,2,12.15,1.41,118.34,2.04,48.71,3.23,40.2,No
United River Bancorp,2002,2,9.69,0.31,102.06,1.32,62.91,3.98,44.74,No
National Plains Bancorp,2002,2,6.36,8.2,71.31,-1.08,82.07,1.73,98.07,Yes
First State Credit,2002,2,2.63,3.93,67.2,-1.96,107.59,0.64,101.65,Yes
First America Bank,2002,2,14.38,2.21,130.27,2.55,64.36,2.59,50.78,No
Community Plains Bank,2002,2,13.72,2.14,104.23,1.6,69.26,2.96,69.73,No
Metropolitan River Bancorp,2002,2,9.23,2.51,134.89,3.14,65.96,3.25,55.7,No
National River Credit,2002,2,6.39,6.7,74.36,-3.53,110.23,1.06,77.78,Yes
First America Trust,2002,2,16.09,1.33,115.97,3.0,61.68,2.72,48.53,No
United State Trust,2002,2,13.68,2.21,107.07,1.73,63.93,2.96,54.26,No
First America Financial,2002,2,12.84,0.22,130.64,2.13,83.85,3.22,61.01,No
Community Mountain Financial,2002,2,6.93,11.04,75.22,-1.1,134.09,1.44,85.74,Yes
Metropolitan America Credit,2002,2,9.45,0.71,122.93,2.07,63.86,3.07,65.89,No
Central Coast Financial,2002,2,13.39,0.86,118.88,1.6,66.12,2.79,45.22,No
United Plains Bank,2002,2,3.49,6.62,64.39,-3.93,130.79,1.54,76.24,Yes
Metropolitan Coast Financial,2002,2,12.04,0.83,136.96,2.95,71.57,3.51,51.75,No
Central State Bank,2002,2,9.33,1.59,121.32,1.77,67.81,2.95,49.19,No
National Coast Trust,2002,2,12.1,0.94,112.83,1.36,79.78,1.95,61.54,No
Metropolitan Plains Trust,2002,2,14.77,1.7,93.97,1.82,69.36,2.49,44.85,No
United America Bank,2002,2,15.06,2.66,110.75,1.2,66.73,2.89,54.96,No
Central River Credit,2002,2,10.93,2.51,139.35,2.41,69.52,2.91,46.43,No
First State Credit,2002,3,14.36,1.37,120.45,2.03,64.98,2.31,53.23,No
Central America Bank,2002,3,11.88,2.5,114.66,2.61,61.23,3.86,32.52,No
United Coast Trust,2002,3,12.87,2.48,112.04,2.21,82.8,1.89,55.03,No
Community State Trust,2002,3,7.01,1.03,136.29,1.71,58.26,2.9,70.68,No
Regional Plains Credit,2002,3,8.34,0.95,134.97,2.93,68.97,2.38,70.96,No
National Valley Trust,2002,3,9.19,9.04,61.88,-1.05,97.59,1.17,94.51,Yes
Metropolitan State Bank,2002,3,13.76,0.92,133.76,2.16,76.87,3.73,38.88,No
Central Plains Credit,2002,3,11.93,1.47,104.32,2.17,95.12,2.08,49.68,No
Metropolitan Valley Credit,2002,3,13.28,2.12,118.87,1.35,72.33,2.62,28.1,No
Central River Credit,2002,3,8.39,9.88,70.52,-0.77,116.11,1.11,89.04,Yes
Central America Bank,2002,3,5.41,10.94,73.21,-0.81,80.95,1.14,71.68,Yes
Central Mountain Credit,2002,3,10.72,1.18,109.34,3.06,83.31,3.96,37.77,No
National Coast Bank,2002,3,12.14,0.71,113.04,1.54,82.4,2.8,60.68,No
Community Valley Trust,2002,3,13.21,4.3,105.21,2.63,81.46,2.51,60.07,No
National Coast Credit,2002,3,11.01,2.55,83.52,0.78,110.75,2.5,71.73,
First State Financial,2002,3,10.42,1.22,130.82,1.33,65.85,3.02,51.11,No
Community Plains Credit,2002,3,11.64,2.4,126.93,2.37,60.14,2.86,61.95,No
National Coast Trust,2002,3,13.79,0.63,123.51,1.01,70.47,3.95,40.52,No
Metropolitan Valley Financial,2002,3,10.33,2.76,104.57,1.68,75.96,2.68,47.64,No
National State Credit,2002,3,13.49,2.42,122.67,1.83,73.7,2.94,54.58,No
National Coast Bancorp,2002,3,11.01,1.82,110.1,1.98,61.89,2.44,52.59,No
United Plains Bank,2002,3,12.43,2.78,115.69,2.2,75.51,3.22,41.74,No
United Coast Bancorp,2002,3,6.3,8.09,70.07,-3.09,102.41,2.11,76.4,Yes
Metropolitan Coast Financial,2002,3,10.54,2.37,123.12,2.6,57.42,3.37,55.9,No
Metropolitan Plains Bank,2002,3,11.72,2.34,130.29,2.44,58.57,3.41,49.35,No
Community America Trust,2002,3,12.15,2.07,118.5,2.6,69.16,2.44,46.06,No
Metropolitan Mountain Bank,2002,3,12.36,3.23,126.03,1.57,94.85,3.13,62.75,No
First River Financial,2002,3,11.7,2.53,128.39,2.61,80.57,3.44,46.85,No
United America Financial,2002,3,10.86,2.33,129.33,1.89,80.65,3.73,40.84,No
United Coast Credit,2002,3,10.33,1.86,123.08,1.74,83.52,3.21,50.39,No
Metropolitan America Credit,2002,3,9.13,0.68,122.81,0.93,80.13,2.92,82.43,No
Metropolitan Valley Trust,2002,3,10.62,6.46,68.94,-0.0,125.55,0.18,62.14,Yes
National Mountain Credit,2002,3,4.76,8.75,74.97,0.07,82.0,0.0,88.58,Yes
First State Credit,2002,3,10.34,0.0,121.45,2.4,68.78,2.77,48.41,No
Regional Mountain Credit,2002,3,11.26,0.65,112.85,2.26,73.22,3.08,40.05,No
National Coast Credit,2002,3,11.64,0.0,121.78,2.71,55.26,2.71,53.29,No
United State Bank,2002,3,8.51,5.66,63.08,-2.97,101.55,2.02,82.77,Yes
National Valley Credit,2002,3,5.96,7.97,69.89,-1.81,112.35,1.11,80.18,Yes
First America Financial,2002,3,10.05,3.3,126.65,1.72,80.02,2.75,42.18,No
Regional State Bank,2002,3,10.48,0.23,124.72,1.08,57.72,1.96,49.14,No
Community Mountain Bancorp,2002,3,11.7,1.67,109.57,1.41,74.64,2.72,53.16,No
National America Trust,2002,3,10.23,2.18,133.03,2.29,65.88,3.13,47.59,No
Community America Trust,2002,3,6.02,6.02,68.36,-0.79,85.1,0.49,66.11,Yes
Metropolitan America Bank,2002,3,8.8,0.78,121.59,1.55,75.14,3.02,30.31,No
Community America Bank,2002,3,7.31,9.43,60.06,-0.58,87.15,1.05,67.36,Yes
Central Plains Bank,2002,3,2.41,5.85,68.76,-1.4,82.24,0.8,82.69,Yes
Community River Bank,2002,3,5.91,7.55,63.3,0.17,82.36,1.24,91.82,Yes
Community State Financial,2002,3,6.96,6.39,64.72,0.04,78.66,0.51,76.02,Yes
First Coast Bancorp,2002,3,14.48,2.38,110.32,1.84,63.86,2.65,59.79,No
Regional River Bancorp,2002,3,9.26,3.61,128.28,2.55,65.37,2.93,35.67,No
Community America Bancorp,2002,4,10.95,2.49,132.96,1.45,66.34,2.92,36.04,No
National America Credit,2002,4,13.18,1.28,118.05,1.77,62.11,3.0,47.84,No
Metropolitan Mountain Credit,2002,4,11.26,1.27,123.2,2.83,71.4,3.5,36.1,No
Metropolitan River Trust,2002,4,12.32,0.9,105.23,1.63,81.92,3.48,52.43,No
Metropolitan Valley Trust,2002,4,8.93,1.8,123.02,2.09,51.56,2.55,49.36,No
Central Coast Bank,2002,4,13.07,0.0,118.38,2.07,78.5,3.35,55.83,No
Community Mountain Trust,2002,4,10.4,0.09,116.07,2.5,83.93,3.36,54.29,No
Central Valley Credit,2002,4,12.76,1.44,118.7,2.83,60.57,3.81,46.78,No
Community State Trust,2002,4,14.65,0.59,125.86,1.63,55.85,3.11,60.09,No
First Plains Credit,2002,4,10.31,0.5,119.08,1.96,75.48,3.47,49.41,No
Community Coast Credit,2002,4,9.71,7.67,66.54,-2.61,96.06,0.83,89.6,Yes
Regional Coast Trust,2002,4,12.92,0.82,121.72,2.34,85.28,3.44,57.61,No
Metropolitan Plains Bancorp,2002,4,12.12,2.39,132.5,1.33,66.51,2.61,53.79,No
United America Bank,2002,4,14.46,1.4,96.1,1.79,79.13,3.27,54.28,No
National Plains Bank,2002,4,11.44,0.72,125.15,1.58,91.84,3.29,44.19,No
Metropolitan State Bank,2002,4,4.78,6.72,67.6,0.12,102.8,0.63,98.9,Yes
United America Bancorp,2002,4,12.1,2.77,113.92,2.18,73.11,2.06,70.15,No
Community Plains Bancorp,2002,4,14.58,1.6,108.98,2.17,70.87,3.18,51.92,No
First Plains Credit,2002,4,13.01,3.45,125.68,1.48,83.63,3.82,81.52,No
Community Mountain Financial,2002,4,9.75,2.24,99.18,2.28,64.52,3.96,42.25,No
Central Coast Credit,2002,4,8.62,1.53,100.25,2.38,49.35,3.01,29.22,No
Community State Financial,2002,4,5.36,11.93,73.61,-1.86,99.53,1.01,84.73,Yes
Metropolitan Mountain Financial,2002,4,9.27,2.59,92.96,1.69,65.12,3.32,50.23,No
Metropolitan Plains Financial,2002,4,9.19,1.02,121.99,1.96,64.21,2.76,56.96,No
United Valley Bank,2002,4,10.96,1.91,141.7,1.29,51.48,3.39,43.21,No
National America Bank,2002,4,11.36,1.22,117.4,2.8,78.02,3.43,35.84,No
United America Trust,2002,4,9.7,0.0,111.91,2.48,75.17,2.89,49.78,No
Central State Trust,2002,4,10.62,2.2,127.66,1.19,73.0,3.47,45.85,No
Community Coast Bank,2002,4,13.4,4.81,118.96,2.2,62.62,3.09,54.6,No
Regional Mountain Trust,2002,4,12.39,0.98,122.06,2.73,74.49,3.48,47.63,No
National State Credit,2002,4,13.5,2.28,110.49,2.16,60.08,2.68,51.89,No
Central Valley Financial,2002,4,12.59,0.81,130.54,2.29,62.95,2.23,48.55,No
First Plains Financial,2002,4,11.11,2.11,116.37,1.0,66.12,2.85,56.34,No
Community Valley Financial,2002,4,10.6,3.68,100.88,2.66,67.76,3.43,50.8,No
Regional Plains Trust,2002,4,14.28,1.61,109.01,2.71,68.87,3.11,62.35,No
Central River Bank,2002,4,9.94,2.6,114.1,1.93,70.72,2.25,42.21,No
National State Bank,2002,4,8.7,9.66,69.37,-0.76,95.59,1.68,78.0,Yes
United State Trust,2002,4,12.46,3.15,112.23,2.78,54.7,3.81,46.27,No
National America Bancorp,2002,4,11.51,0.11,115.45,1.48,63.92,2.93,59.58,No
Regional Plains Credit,2002,4,6.42,7.92,59.04,-1.88,126.98,0.63,96.56,Yes
National America Financial,2002,4,11.51,2.0,130.7,2.64,68.89,2.81,49.44,No
Metropolitan State Credit,2002,4,12.68,2.89,120.04,2.31,86.38,3.19,53.12,No
United River Trust,2002,4,8.96,0.0,123.88,1.95,64.85,3.12,49.4,No
Central River Bank,2002,4,14.26,2.09,112.53,2.5,67.83,3.26,45.23,No
United Plains Trust,2002,4,10.7,2.08,120.13,2.24,67.31,2.08,45.67,No
First Coast Bank,2002,4,13.59,1.7,117.54,2.49,62.88,2.23,48.39,No
Community River Credit,2002,4,11.03,1.03,118.25,2.25,69.91,3.15,68.13,No
Metropolitan Mountain Financial,2002,4,11.31,2.28,114.91,1.58,64.15,2.76,53.59,No
Metropolitan Plains Financial,2002,4,10.7,4.85,65.83,-1.06,105.94,1.13,92.84,Yes
National State Credit,2002,4,1.15,0.0,65.04,0.1,76.52,0.0,85.71,Yes
Metropolitan Valley Financial,2003,1,12.49,0.91,110.14,1.52,71.11,2.69,54.94,No
Community State Credit,2003,1,0.29,4.43,58.74,-1.26,91.93,1.4,61.41,Yes
Community River Financial,2003,1,12.09,2.56,138.57,1.76,73.24,2.1,26.08,No
Central America Bancorp,2003,1,13.69,1.99,131.79,1.31,75.2,3.93,54.2,No
Regional Coast Trust,2003,1,10.83,3.02,68.58,2.86,70.84,2.75,36.55,
First River Trust,2003,1,3.64,11.31,66.53,0.45,98.83,0.08,88.92,Yes
Community River Trust,2003,1,4.82,9.1,70.25,-2.54,102.46,2.1,84.93,Yes
Metropolitan America Trust,2003,1,11.88,3.08,122.11,2.1,59.08,3.12,60.35,No
Community Valley Financial,2003,1,10.33,3.42,119.08,1.56,79.98,2.86,57.6,No
Regional Valley Financial,2003,1,11.42,1.94,124.94,2.15,50.04,2.44,59.29,No
Central America Bancorp,2003,1,5.74,5.43,56.41,-2.08,69.67,0.95,74.02,Yes
Central State Bank,2003,1,4.07,6.8,73.64,1.09,77.32,1.58,89.73,Yes
National State Trust,2003,1,10.44,2.2,115.42,2.09,85.09,3.3,55.09,No
National State Credit,2003,1,11.14,0.52,117.92,2.6,54.73,2.47,51.26,No
First America Bank,2003,1,4.03,4.62,65.76,-2.37,85.39,1.35,66.93,Yes
Regional Mountain Credit,2003,1,8.8,1.37,127.32,1.9,65.35,3.02,32.54,No
United Mountain Financial,2003,1,12.99,2.38,115.91,2.5,58.73,3.56,51.54,No
United Mountain Bank,2003,1,5.33,6.94,68.93,0.22,83.85,0.62,90.36,Yes
Community Valley Credit,2003,1,10.81,2.9,136.99,1.8,76.81,2.42,57.55,No
